RecordType,StartTime,Demand
VD,2017-01-01T21:40:00Z,31930
VD,2017-01-01T21:45:00Z,31744
VD,2017-01-01T21:50:00Z,31595
VD,2017-01-01T21:55:00Z,31366
VD,2017-01-01T22:00:00Z,31488
VD,2017-01-01T22:05:00Z,31536
VD,2017-01-01T22:10:00Z,31310
VD,2017-01-01T22:15:00Z,31094
VD,2017-01-01T22:20:00Z,30838
VD,2017-01-01T22:25:00Z,30689
VD,2017-01-01T22:30:00Z,30687
VD,2017-01-01T22:35:00Z,30603
VD,2017-01-01T22:40:00Z,30313
VD,2017-01-01T22:45:00Z,30080
VD,2017-01-01T22:50:00Z,29806
VD,2017-01-01T22:55:00Z,29332
VD,2017-01-01T23:00:00Z,29143
VD,2017-01-01T23:05:00Z,28926
VD,2017-01-01T23:10:00Z,28744
VD,2017-01-01T23:15:00Z,28542
VD,2017-01-01T23:20:00Z,28295
VD,2017-01-01T23:25:00Z,28093
VD,2017-01-01T23:30:00Z,28085
VD,2017-01-01T23:35:00Z,28042
VD,2017-01-01T23:40:00Z,27980
VD,2017-01-01T23:45:00Z,27859
VD,2017-01-01T23:50:00Z,27689
VD,2017-01-01T23:55:00Z,27243
VD,2017-01-02T00:00:00Z,26964
VD,2017-01-02T00:05:00Z,26888
VD,2017-01-02T00:10:00Z,26919
VD,2017-01-02T00:15:00Z,26902
VD,2017-01-02T00:20:00Z,26862
VD,2017-01-02T00:25:00Z,26790
VD,2017-01-02T00:30:00Z,26969
VD,2017-01-02T00:35:00Z,27089
VD,2017-01-02T00:40:00Z,27086
VD,2017-01-02T00:45:00Z,27125
VD,2017-01-02T00:50:00Z,27103
VD,2017-01-02T00:55:00Z,27109
VD,2017-01-02T01:00:00Z,27304
VD,2017-01-02T01:05:00Z,27433
VD,2017-01-02T01:10:00Z,27465
VD,2017-01-02T01:15:00Z,27279
VD,2017-01-02T01:20:00Z,27109
VD,2017-01-02T01:25:00Z,27138
VD,2017-01-02T01:30:00Z,27172
VD,2017-01-02T01:35:00Z,27069
VD,2017-01-02T01:40:00Z,26979
VD,2017-01-02T01:45:00Z,26820
VD,2017-01-02T01:50:00Z,26892
VD,2017-01-02T01:55:00Z,26803
VD,2017-01-02T02:00:00Z,26955
VD,2017-01-02T02:05:00Z,27094
VD,2017-01-02T02:10:00Z,27046
VD,2017-01-02T02:15:00Z,26930
VD,2017-01-02T02:20:00Z,26827
VD,2017-01-02T02:25:00Z,26809
VD,2017-01-02T02:30:00Z,26954
VD,2017-01-02T02:35:00Z,26974
VD,2017-01-02T02:40:00Z,26879
VD,2017-01-02T02:45:00Z,26763
VD,2017-01-02T02:50:00Z,26682
VD,2017-01-02T02:55:00Z,26898
VD,2017-01-02T03:00:00Z,26884
VD,2017-01-02T03:05:00Z,26852
VD,2017-01-02T03:10:00Z,26851
VD,2017-01-02T03:15:00Z,26869
VD,2017-01-02T03:20:00Z,26780
VD,2017-01-02T03:25:00Z,26697
VD,2017-01-02T03:30:00Z,26654
VD,2017-01-02T03:35:00Z,26542
VD,2017-01-02T03:40:00Z,26507
VD,2017-01-02T03:45:00Z,26470
VD,2017-01-02T03:50:00Z,26420
VD,2017-01-02T03:55:00Z,26291
VD,2017-01-02T04:00:00Z,26223
VD,2017-01-02T04:05:00Z,26240
VD,2017-01-02T04:10:00Z,26203
VD,2017-01-02T04:15:00Z,26164
VD,2017-01-02T04:20:00Z,26114
VD,2017-01-02T04:25:00Z,26102
VD,2017-01-02T04:30:00Z,26188
VD,2017-01-02T04:35:00Z,26161
VD,2017-01-02T04:40:00Z,26133
VD,2017-01-02T04:45:00Z,26145
VD,2017-01-02T04:50:00Z,26196
VD,2017-01-02T04:55:00Z,26199
VD,2017-01-02T05:00:00Z,26345
VD,2017-01-02T05:05:00Z,26420
VD,2017-01-02T05:10:00Z,26396
VD,2017-01-02T05:15:00Z,26346
VD,2017-01-02T05:20:00Z,26284
VD,2017-01-02T05:25:00Z,26384
VD,2017-01-02T05:30:00Z,26655
VD,2017-01-02T05:35:00Z,26760
VD,2017-01-02T05:40:00Z,26627
